iter	Logloss
0	0.4746484221
1	0.3287704634
2	0.231171477
3	0.1651457575
4	0.1203214664
5	0.09051739009
6	0.06935333792
7	0.05511285102
8	0.04467628908
9	0.03742710584
10	0.03242026361
11	0.02853175099
12	0.02548546249
13	0.02345428418
14	0.02177487451
15	0.02047763854
16	0.01938031292
17	0.01859018754
18	0.01788563241
19	0.01732989445
20	0.01699828837
21	0.01670096803
22	0.01640776428
23	0.01616464912
24	0.01597108216
25	0.01578008307
26	0.01565779503
27	0.01557174226
28	0.01543074114
29	0.01530202987
30	0.01525329314
31	0.01510108937
32	0.01506617115
33	0.01497520415
34	0.01489163504
35	0.0147786008
36	0.01472472966
37	0.01468021847
38	0.01463477147
39	0.01460516627
40	0.01458984851
41	0.01454184259
42	0.01451102133
43	0.01448876261
44	0.01446374688
45	0.01444973969
46	0.01440736418
47	0.01439690492
48	0.01437473
49	0.01434206166
50	0.01430948183
51	0.01427874032
52	0.014274684
53	0.01422910709
54	0.01421013359
55	0.01419154423
56	0.01416875356
57	0.01412885625
58	0.01408071907
59	0.01406351894
60	0.01405257102
61	0.01403043051
62	0.01401433513
63	0.01400214394
64	0.01398555776
65	0.01396904426
66	0.01395671843
67	0.01394343433
68	0.01394113832
69	0.01391307423
70	0.01388063097
71	0.01386432621
72	0.01384414596
73	0.01380608622
74	0.01379146196
75	0.01378836575
76	0.01377124766
77	0.01375969921
78	0.01374597206
79	0.01372588389
80	0.01372114336
81	0.01371641002
82	0.01371128063
83	0.01369921064
84	0.01368857627
85	0.01365477492
86	0.01362813942
87	0.01361940689
88	0.01360931658
89	0.01358317871
90	0.01357128688
91	0.01356726925
92	0.01356249463
93	0.01354770752
94	0.01353570742
95	0.01350083505
96	0.0134849384
97	0.01347678548
98	0.01346245047
99	0.01345750348
100	0.013452411
101	0.01344609919
102	0.01343632057
103	0.01342550825
104	0.0134150086
105	0.01340394599
106	0.01339300705
107	0.01338480536
108	0.01335864906
109	0.01335449807
110	0.0133406897
111	0.01332667497
112	0.01331870714
113	0.01330956763
114	0.01329448825
115	0.01328728324
116	0.01326673121
117	0.01325535841
118	0.01324792023
119	0.01323021729
120	0.0132207651
121	0.01320469664
122	0.01319848557
123	0.0131835836
124	0.01317894681
125	0.01317000354
126	0.01316672645
127	0.01315525984
128	0.01315063522
129	0.01313704594
130	0.01312747844
131	0.01312001072
132	0.01311008512
133	0.01309794333
134	0.01307811581
135	0.01306353086
136	0.01305521137
137	0.01304144092
138	0.01303243904
139	0.01302788891
140	0.01301753921
141	0.01301245829
142	0.01299006962
143	0.01298314214
144	0.01297917775
145	0.01297043576
146	0.0129504909
147	0.0129426329
148	0.01293448449
149	0.01293125981
150	0.01290672787
151	0.01290378275
152	0.01289478633
153	0.01289314742
154	0.01287519448
155	0.01285484323
156	0.01284647277
157	0.01284339859
158	0.01283055228
159	0.01282327241
160	0.01278930959
161	0.01277802322
162	0.01277137968
163	0.01274921451
164	0.01273884544
165	0.01273550616
166	0.01272878977
167	0.01271310165
168	0.01270906389
169	0.01270360887
170	0.01270299698
171	0.01269737004
172	0.01269313434
173	0.01268294224
174	0.01267138275
175	0.01266639812
176	0.01265990079
177	0.01265375065
178	0.01265233873
179	0.012646743
180	0.01264083157
181	0.01262833668
182	0.01262432927
183	0.01259878087
184	0.01259694439
185	0.01259087109
186	0.01258784391
187	0.01258353363
188	0.01257794524
189	0.01256806619
190	0.01255692225
191	0.0125525407
192	0.0125516488
193	0.01254122095
194	0.01253705965
195	0.01253419482
196	0.01252877258
197	0.01252341889
198	0.01251374408
199	0.01250483092
200	0.01247921656
201	0.01247461351
202	0.0124700184
203	0.01246745362
204	0.01246191342
205	0.01243431387
206	0.01241545376
207	0.01240836809
208	0.01239962288
209	0.01238653356
210	0.01235936674
211	0.01235449466
212	0.01235009261
213	0.01234517572
214	0.01233864643
215	0.01233716653
216	0.01233229913
217	0.0123243451
218	0.01229957872
219	0.01229057761
220	0.01228409119
221	0.01227936206
222	0.01227609812
223	0.01227153354
224	0.01224456196
225	0.0122282876
226	0.01221646084
227	0.01221344228
228	0.01220812666
229	0.01219373843
230	0.01217825153
231	0.01215221164
232	0.01214767211
233	0.01214316408
234	0.01213478305
235	0.0121261441
236	0.01211186168
237	0.01210919803
238	0.01208352493
239	0.01206532961
240	0.0120384621
241	0.01203155683
242	0.01202680199
243	0.01202046619
244	0.01201446314
245	0.01200585317
246	0.01199878426
247	0.0119971952
248	0.01197346254
249	0.01196754875
250	0.01196521961
251	0.01195987192
252	0.01195550882
253	0.01194115173
254	0.01193586186
255	0.01193168799
256	0.01192805212
257	0.01192122302
258	0.01191612161
259	0.01189244889
260	0.01188693919
261	0.01188493047
262	0.01188074534
263	0.01187069138
264	0.0118685444
265	0.0118635126
266	0.01186207439
267	0.01185794008
268	0.01185597983
269	0.01185225122
270	0.01184984794
271	0.01182871769
272	0.01182442035
273	0.01181693839
274	0.01180546243
275	0.01180374139
276	0.01179893545
277	0.01179512041
278	0.01179046947
279	0.0117883449
280	0.0117832577
281	0.0117715033
282	0.01176950845
283	0.01176585437
284	0.01176247399
285	0.01176102695
286	0.01175607322
287	0.01175054592
288	0.01174645063
